nom_joueur,poste,minutes_jouees,distance_totale,vitesse_moyenne,vitesse_max,sprints,accelerations,decelerations,passes,tirs,buts,assists,interceptions,duels,recuperations,performance_score,fatigue_risk
Noel Petit,Attaquant,70,6.24,8.58,28.9,3,14,33,69,8,3,2,3,29,12,100,Modere
Julien Ahmed,Attaquant,70,8.19,8.15,27.93,17,28,19,28,6,2,1,2,30,6,96.6,Modere
Karim Rossi,Attaquant,70,4.9,5.99,23.73,18,31,18,10,5,2,1,3,7,6,82.2,Modere
Marco Haddad,Gardien,90,11.33,6.81,21.85,17,37,38,5,2,0,0,1,29,2,69.2,Eleve
Marco Petrov,Gardien,90,5.14,11.19,31.39,5,45,34,20,2,0,0,2,22,6,49.2,Modere
Ivan Rossi,Gardien,90,5.62,10.82,20.93,6,43,34,21,1,0,0,2,11,4,49.7,Modere
Karim Martins,Attaquant,70,5.08,11.42,22.6,18,28,16,52,2,0,1,3,7,10,76.7,Modere
Rayan Touré,Gardien,60,5.06,5.1,15.1,13,26,6,24,0,0,0,1,8,9,62.1,Faible
Julien Rossi,Milieu,45,3.25,9.08,28.31,14,18,6,39,3,0,1,9,9,9,77.4,Faible
Sami Touré,Milieu,60,6.85,11.41,25.08,10,19,9,50,3,0,1,0,8,6,76.7,Faible
Julien Walsh,Attaquant,45,4.04,7.29,20.93,6,6,18,34,2,0,0,1,18,9,52.7,Faible
Marco Martins,Gardien,45,2.78,11.45,21.99,9,4,16,25,0,0,0,3,27,10,51.8,Faible
Mateo Girard,Milieu,60,6.19,6.3,19.57,12,20,6,39,4,0,0,5,10,4,58.8,Faible
Mateo Walsh,Gardien,60,4.4,8.37,19.81,18,25,14,8,0,0,0,1,5,1,56.1,Faible
Owen Fontaine,Milieu,45,3.41,6.1,22.84,10,19,9,12,4,0,2,9,28,3,62.9,Faible
Bilal Bernard,Attaquant,70,3.71,8.05,19.32,2,21,12,70,1,0,2,2,13,9,74.9,Faible
Owen Murphy,Défenseur,70,3.5,7.88,28.66,20,16,24,8,0,0,0,1,12,0,49.0,Modere
Karim Touré,Défenseur,70,7.96,9.25,27.11,16,5,23,38,2,0,0,3,24,7,67.0,Modere
Karim Girard,Défenseur,90,6.34,10.72,21.41,24,32,6,46,2,0,0,5,14,11,87.5,Modere
Maël Nkomo,Gardien,70,6.75,5.14,26.62,6,31,6,8,0,0,0,0,8,0,53.0,Faible
Gabriel Lefevre,Gardien,60,4.57,7.69,20.56,10,12,8,10,2,0,0,0,26,11,56.9,Faible
Rayan Ahmed,Milieu,60,2.79,6.94,22.69,6,16,8,60,1,0,0,8,6,10,72.4,Faible
Rayan Ahmed,Défenseur,45,4.63,5.08,26.82,8,4,9,37,0,0,0,6,27,5,64.2,Faible
Marco Rossi,Milieu,70,5.35,9.46,26.05,13,32,18,26,2,0,2,6,9,7,79.5,Faible
Théo Bianchi,Attaquant,60,3.12,7.61,26.38,4,7,4,52,3,2,2,0,17,6,71.0,Faible
Enzo Nkomo,Attaquant,45,2.57,7.72,24.29,5,3,21,17,2,0,1,2,22,4,43.4,Modere
Karim Bianchi,Gardien,90,6.85,10.41,29.73,30,39,15,21,0,0,0,1,15,8,69.6,Eleve
Maël Haddad,Attaquant,70,3.51,7.12,23.51,16,34,15,20,1,0,1,3,8,11,62.8,Modere
Maël Lefevre,Défenseur,90,11.28,5.85,22.08,28,27,34,84,1,0,0,1,7,12,100,Eleve
Sami Rossi,Milieu,60,4.4,8.54,22.52,20,24,20,33,2,0,0,7,12,11,74.7,Modere
Rayan Costa,Gardien,60,3.49,10.2,28.08,4,21,14,15,0,0,0,2,13,7,44.4,Faible
Ivan Walsh,Défenseur,60,5.66,5.86,19.38,10,30,20,40,0,0,0,8,27,5,64.2,Faible
Ivan Petrov,Milieu,90,6.82,7.31,28.38,25,16,5,44,8,1,2,4,9,5,99.0,Modere
Owen Martins,Défenseur,45,2.15,6.54,17.99,14,11,12,6,0,0,0,7,21,4,46.3,Faible
Karim Nkomo,Attaquant,45,2.62,11.81,33.13,4,21,7,24,1,0,2,3,27,8,55.3,Faible
Rayan Diallo,Défenseur,90,4.36,8.85,25.01,9,35,26,53,1,0,0,5,24,7,64.9,Modere
Julien Bianchi,Gardien,60,2.78,10.66,23.71,17,22,11,16,1,0,0,3,14,3,47.8,Faible
Théo Lefevre,Défenseur,90,8.93,10.97,32.66,21,25,36,50,2,0,0,5,16,2,85.9,Eleve
Ivan Fontaine,Gardien,45,5.7,11.86,22.21,4,9,16,21,2,0,0,1,21,3,54.5,Faible
Liam Diallo,Défenseur,70,9.32,7.74,25.12,14,13,10,67,2,0,0,2,28,2,90.4,Modere
Noel Petrov,Attaquant,70,8.02,11.59,23.74,7,30,21,20,7,1,0,0,29,2,70.4,Faible
Rayan Ahmed,Attaquant,70,4.49,7.55,24.06,12,24,10,39,2,0,2,0,20,0,73.7,Faible
Mateo Rossi,Attaquant,60,5.35,11.08,22.16,15,21,11,20,3,1,2,3,11,5,83.8,Modere
Noel Bernard,Gardien,70,7.5,11.78,29.33,12,31,33,20,0,0,0,1,28,3,57.8,Eleve
Rayan Touré,Attaquant,60,3.75,8.04,28.83,10,4,26,18,4,2,2,2,17,0,69.9,Modere
Julien Fernandez,Gardien,60,3.24,6.01,18.68,8,22,19,24,2,0,0,0,27,10,44.2,Faible
Gabriel Murphy,Gardien,70,6.51,10.58,30.43,3,17,17,6,0,0,0,0,7,8,50.2,Faible
Noel Bianchi,Gardien,90,8.33,6.07,19.89,2,11,30,7,0,0,0,2,5,0,49.1,Modere
Karim Murphy,Attaquant,70,7.57,7.15,22.8,9,26,15,47,3,2,1,0,20,3,83.2,Faible
Liam Nkomo,Gardien,90,7.86,5.11,26.46,14,7,38,19,0,0,0,2,12,8,55.6,Eleve
Mateo Silva,Défenseur,60,7.75,5.86,20.28,5,28,6,53,0,0,0,7,17,12,74.7,Faible
Diego Walsh,Attaquant,60,3.72,6.84,26.44,12,14,18,13,4,1,0,1,27,10,61.7,Faible
Lucas Girard,Attaquant,70,9.08,11.85,30.18,21,28,35,10,3,3,0,2,7,2,83.1,Eleve
Julien Costa,Attaquant,90,11.4,5.5,23.91,19,15,40,76,8,1,1,0,22,5,100,Eleve
Théo Fernandez,Attaquant,45,3.65,8.89,24.18,10,8,7,20,2,0,2,1,21,12,60.1,Faible
Gabriel Petit,Attaquant,45,3.38,10.23,21.79,10,19,10,35,2,0,2,2,10,7,64.7,Faible
Noel Murphy,Gardien,90,9.37,7.37,28.68,4,42,6,25,1,0,0,1,8,6,70.1,Faible
Marco Petrov,Milieu,70,7.76,5.07,15.41,19,12,26,66,1,0,0,10,20,12,92.3,Modere
Bilal Fernandez,Attaquant,45,2.51,9.29,23.02,7,10,3,33,4,1,1,0,19,9,68.9,Faible
Enzo Girard,Attaquant,90,11.63,8.07,23.4,28,24,21,67,6,3,1,2,10,1,100,Eleve
Maël Walsh,Gardien,60,7.29,9.65,21.64,3,12,19,9,2,0,0,2,25,8,48.4,Modere
Gabriel Petrov,Gardien,70,5.27,11.46,24.37,14,18,5,24,0,0,0,2,10,6,58.2,Faible
Mateo Bianchi,Attaquant,70,7.7,10.6,26.77,14,18,24,29,8,2,2,2,16,12,93.3,Modere
Ivan Byrne,Gardien,90,8.98,11.37,31.62,27,20,40,23,1,0,0,2,28,0,73.3,Eleve
Marco Haddad,Gardien,90,11.98,6.1,22.26,13,6,39,7,0,0,0,0,11,6,64.6,Eleve
Owen Petrov,Gardien,60,4.38,11.28,22.44,2,17,9,19,2,0,0,3,8,10,57.4,Faible
Julien Fernandez,Défenseur,60,3.33,7.43,19.22,10,7,26,42,0,0,0,1,5,10,47.0,Modere
Karim Touré,Gardien,45,3.8,7.46,18.64,1,15,8,18,2,0,0,0,13,11,44.2,Faible
Bilal Rossi,Milieu,45,5.43,9.22,28.71,5,16,5,19,5,1,0,6,25,1,64.2,Faible
Rayan Martins,Défenseur,60,6.62,9.23,21.41,10,14,4,54,2,0,0,4,21,7,73.4,Faible
Karim Ahmed,Gardien,60,4.58,8.62,30.05,7,8,28,12,0,0,0,1,24,9,43.2,Modere
Sami Lefevre,Gardien,90,8.9,9.26,27.37,13,32,33,23,1,0,0,3,16,0,64.6,Modere
Rayan Nkomo,Gardien,45,3.44,8.26,25.5,14,11,19,22,0,0,0,0,29,5,47.2,Modere
Noah Haddad,Milieu,60,2.97,6.6,17.2,8,29,26,45,1,0,2,9,22,8,69.0,Modere
Maël Rossi,Gardien,60,3.29,11.99,32.88,18,6,28,17,0,0,0,1,19,8,50.0,Modere
Mateo Petrov,Défenseur,90,5.52,5.36,19.1,10,45,39,31,2,0,0,6,27,0,70.4,Eleve
Maël Nkomo,Gardien,60,6.85,7.01,26.38,18,8,21,11,1,0,0,3,21,9,62.5,Modere
Owen Haddad,Attaquant,60,5.15,5.54,20.23,2,3,18,55,1,0,1,1,11,5,65.2,Faible
Enzo Martins,Attaquant,60,5.14,7.43,26.84,4,10,9,22,8,2,2,0,17,4,78.2,Faible
Maël Fontaine,Milieu,70,6.06,11.37,28.51,16,17,30,12,8,1,1,3,28,4,68.1,Eleve
Noah Diallo,Défenseur,90,7.14,10.53,32.19,5,18,24,25,1,0,0,10,18,1,60.1,Modere
Mateo Ahmed,Attaquant,70,7.82,5.63,18.05,6,30,3,10,5,1,0,2,8,4,64.1,Faible
Gabriel Walsh,Milieu,45,3.43,9.73,28.34,11,18,16,8,5,1,1,3,22,4,59.9,Faible
Enzo Lefevre,Attaquant,45,3.73,11.53,22.16,10,3,17,14,7,3,0,2,8,4,79.8,Modere
Mateo Girard,Milieu,90,11.64,5.06,15.52,18,35,27,32,6,1,2,2,11,11,96.1,Eleve
Bilal Walsh,Gardien,90,8.45,6.41,21.17,29,28,18,24,2,0,0,3,13,12,74.5,Eleve
